,ALL,CF,IG 10,IG 15,FISHER,RF-RFE 10,RF-RFE 15,MRMR 10,MRMR 15,MRMR HFS,HFS NEW
EQ,0.73,0.74,0.73,0.68,0.75,0.73,0.73,0.71,0.74,0.76,0.71
JDT,0.74,0.77,0.76,0.75,0.78,0.73,0.72,0.77,0.77,0.72,0.76
Lucene,0.69,0.63,0.69,0.7,0.69,0.62,0.64,0.73,0.7,0.64,0.64
Mylyn,0.62,0.65,0.67,0.65,0.64,0.64,0.64,0.67,0.65,0.59,0.64
PDE,0.67,0.68,0.68,0.67,0.67,0.69,0.67,0.7,0.69,0.63,0.63
