,ALL,CF,IG 10,IG 15,FISHER,RF-RFE 10,RF-RFE 15,MRMR 10,MRMR 15,MRMR HFS,HFS NEW
EQ,0.68,0.74,0.73,0.71,0.71,0.73,0.7,0.74,0.71,0.76,0.78
JDT,0.68,0.74,0.73,0.73,0.76,0.7,0.63,0.69,0.72,0.72,0.75
Lucene,0.55,0.57,0.59,0.55,0.57,0.54,0.55,0.57,0.57,0.59,0.59
Mylyn,0.52,0.58,0.61,0.55,0.57,0.51,0.51,0.62,0.6,0.56,0.58
PDE,0.53,0.58,0.56,0.56,0.57,0.52,0.53,0.54,0.52,0.56,0.57
